sigma,seed,ap
0.0,0,0.7325270817759302
0.5,0,0.0734774685633334
0.8,0,0.07281619887940487
1.0,0,0.07231371379788983
1.5,0,0.07124954539093076
2.0,0,0.070083978039651
4.0,0,0.06659900560146681
0.0,1,0.5451242479347413
0.5,1,0.039565448821600464
0.8,1,0.03954382274073526
1.0,1,0.03951353884423214
1.5,1,0.03947682635503975
2.0,1,0.039413586145171535
4.0,1,0.03899052414163112
0.0,2,0.7502965422584845
0.5,2,0.10279881191970774
0.8,2,0.10277720210214986
1.0,2,0.10277993346688956
1.5,2,0.1026484151408461
2.0,2,0.10266224505282284
4.0,2,0.10269282173981192
0.0,3,0.5027401857798818
0.5,3,0.038993077862082566
0.8,3,0.03914067883084077
1.0,3,0.03921993805937414
1.5,3,0.03950826642436576
2.0,3,0.03975369915350095
4.0,3,0.04071751621042177
0.0,4,0.7687379616161697
0.5,4,0.04992268406644326
0.8,4,0.050221609646806616
1.0,4,0.05038491893797691
1.5,4,0.05077856814875572
2.0,4,0.05116765534455259
4.0,4,0.053216937217926426
0.0,5,0.6168670431766127
0.5,5,0.06339428334276025
0.8,5,0.06436370107176824
1.0,5,0.064561200894027
1.5,5,0.0659532247876548
2.0,5,0.0667990309672003
4.0,5,0.07381368909783356
0.0,6,0.3523619210876221
0.5,6,0.03907211243458106
0.8,6,0.03989543895808601
1.0,6,0.0400243696827299
1.5,6,0.040341905050319815
2.0,6,0.04077416790250364
4.0,6,0.043305947191966274
0.0,7,0.7137694094356626
0.5,7,0.12353183949269655
0.8,7,0.12500256621729344
1.0,7,0.12595028890311696
1.5,7,0.12919282114311514
2.0,7,0.1315681357785262
4.0,7,0.14348502983242672
0.0,8,0.43269960904048405
0.5,8,0.06486971715863778
0.8,8,0.06551522257203317
1.0,8,0.06591392806692829
1.5,8,0.06708861381236372
2.0,8,0.06879044750584895
4.0,8,0.07615919347803228
0.0,9,0.735978208958028
0.5,9,0.04525719677211271
0.8,9,0.04555802697435676
1.0,9,0.04579495353993489
1.5,9,0.04636801516640391
2.0,9,0.04698838126735696
4.0,9,0.04947358664501515
