agg,attack,seed,ap
fedavg,clean,0,0.7325270817759302
fedavg,boost,0,0.04
fedavg,alie,0,0.7109227520836111
trimmed,clean,0,0.7553485055692514
trimmed,boost,0,0.04
trimmed,alie,0,0.6830467106287547
krum,clean,0,0.7644017190649403
krum,boost,0,0.74468365117111
krum,alie,0,0.4765264576053116
fedavg,clean,1,0.5451242479347413
fedavg,boost,1,0.02861111111111111
fedavg,alie,1,0.40828182868101687
trimmed,clean,1,0.5102454057958232
trimmed,boost,1,0.02861111111111111
trimmed,alie,1,0.3448260390158646
krum,clean,1,0.38887943486547927
krum,boost,1,0.4235800506359003
krum,alie,1,0.2647055767056667
fedavg,clean,2,0.7502965422584845
fedavg,boost,2,0.04416666666666667
fedavg,alie,2,0.711451738411631
trimmed,clean,2,0.7609714979052541
trimmed,boost,2,0.04416666666666667
trimmed,alie,2,0.6985312297190005
krum,clean,2,0.7040152134034726
krum,boost,2,0.7514008115688181
krum,alie,2,0.5567178576694969
fedavg,clean,3,0.5027401857798818
fedavg,boost,3,0.03263888888888889
fedavg,alie,3,0.2930528005779629
trimmed,clean,3,0.4570978931657284
trimmed,boost,3,0.03263888888888889
trimmed,alie,3,0.2836115683011554
krum,clean,3,0.3950250172145777
krum,boost,3,0.3819671043377325
krum,alie,3,0.22952371434587596
fedavg,clean,4,0.7687379616161697
fedavg,boost,4,0.03958333333333333
fedavg,alie,4,0.6662610403662519
trimmed,clean,4,0.7511675189602728
trimmed,boost,4,0.03958333333333333
trimmed,alie,4,0.6440851036785371
krum,clean,4,0.6399912461619681
krum,boost,4,0.643574208725509
krum,alie,4,0.47239009787060104
fedavg,clean,5,0.6168670431766127
fedavg,boost,5,0.028333333333333332
fedavg,alie,5,0.4749714556522688
trimmed,clean,5,0.5613366940134358
trimmed,boost,5,0.028333333333333332
trimmed,alie,5,0.3547014660782328
krum,clean,5,0.2811279497176111
krum,boost,5,0.20203000721636635
krum,alie,5,0.18013827222393983
fedavg,clean,6,0.3523619210876221
fedavg,boost,6,0.023892207251007085
fedavg,alie,6,0.2257854093150896
trimmed,clean,6,0.3261466319718219
trimmed,boost,6,0.023892207251007085
trimmed,alie,6,0.19901381640235094
krum,clean,6,0.24618838185031214
krum,boost,6,0.1396438087761816
krum,alie,6,0.21089026830936833
fedavg,clean,7,0.7137694094356626
fedavg,boost,7,0.036944444444444446
fedavg,alie,7,0.5747646582217345
trimmed,clean,7,0.7271349128480334
trimmed,boost,7,0.036944444444444446
trimmed,alie,7,0.559143310554174
krum,clean,7,0.6374605905030873
krum,boost,7,0.5518918877578736
krum,alie,7,0.4507757703014753
fedavg,clean,8,0.43269960904048405
fedavg,boost,8,0.028055555555555556
fedavg,alie,8,0.36275316027713356
trimmed,clean,8,0.4094667773747015
trimmed,boost,8,0.028055555555555556
trimmed,alie,8,0.35290909091675665
krum,clean,8,0.3879313928308049
krum,boost,8,0.36359476808653524
krum,alie,8,0.34502968921651533
fedavg,clean,9,0.735978208958028
fedavg,boost,9,0.03652777777777778
fedavg,alie,9,0.5059892893790675
trimmed,clean,9,0.7687636367433973
trimmed,boost,9,0.03652777777777778
trimmed,alie,9,0.4891574283872835
krum,clean,9,0.7081722959127086
krum,boost,9,0.6835737742513145
krum,alie,9,0.45129646592972955
